anio,mes,dia,estacion,valor
2018, 10, 15, 11, 2.6
2018, 10, 15, 12, 19.3
2018, 10, 15, 13, 37.1
2018, 10, 15, 14, 7.2
2018, 10, 15, 15, 29.2
2018, 10, 15, 16, 2.4
2018, 10, 15, 17, 2.8
2018, 10, 22, 2, 6.9
2018, 10, 22, 3, 96.5
2018, 10, 22, 4, 12.7
2018, 10, 22, 5, 63.2
2018, 10, 22, 6, 25.2
2018, 10, 22, 7, 32.3
2018, 10, 22, 8, 3.7
2018, 10, 22, 9, 13.5
2018, 10, 22, 10, 19.3
2018, 10, 22, 11, 13.2
2018, 10, 22, 12, 13.2
2018, 10, 22, 13, 30.7
2018, 10, 22, 14, 36.8
2018, 10, 22, 15, 13.6
2018, 10, 22, 16, 21.3
2018, 10, 22, 17, 28.7
2018, 10, 29, 2, 23.8
2018, 10, 29, 3, 34.8
2018, 10, 29, 4, 23.9
2018, 10, 29, 5, 74.9
2018, 10, 29, 6, 22.5
2018, 10, 29, 7, 52.5
2018, 10, 29, 8, 16.8
2018, 10, 29, 9, 27.4
2018, 10, 29, 10, 1.84
2018, 10, 29, 11, 11.4
2018, 10, 29, 12, 22.0
2018, 10, 29, 13, 33.16
2018, 10, 29, 14, 67.3
2018, 10, 29, 15, 25.5
2018, 10, 29, 16, 18.6
2018, 10, 29, 17, 23.3
